descrip,prorratea,orden,grupo,modulo,topepro,signo,concepto,grupotope,muestraliq,anexas,vista,titulo,of649,ordenliq,fliqfin,grupolf,ldescrip
"Sueldo Bruto Mensual",0,10,1,1,0,1,"BRUTO",,11,1,111,0,"R01IA","01A002","R01A01",8,"Remun. Bruta Mensual"
"  1er. SAC",1,60,6,1,.05,1,"SAC1",,170,1,350,0,"R01IA","01A081","R01A20",9,"  1er. SAC"
"  2do. SAC",1,61,6,1,.05,1,"SAC2",,180,1,352,0,"R01IA","01A082","R01A21",9,"  2do. SAC"
" Bruto Retroactivo",1,62,6,1,0,1,"BRUTORET",,210,1,301,0,"R01IA","01A011","R01A12",9,"Bruto Retroactivo"
" Liquidacion Final",1,66,6,1,.20,1,"LIQFIN",,220,1,302,0,"R01IA","01A016","R01A13",9,"Liquidacion Final"
"Seg Obligatorio",0,183,2,2,0,-1,"SEGOBL",3,0,1,0,0,"","","",0,""
"Seg. Vida Fliar",0,184,2,2,0,-1,"SEGFAM",3,0,1,0,0,"","","",0,""
" Jubilación Haberes Mensual",0,180,2,2,0,-1,"JUBIL",,0,1,401,0,"R02IA1","02A001","R02A01",20," Jubilación"
" Obra Social Haberes Mensual",0,181,2,2,0,-1,"OBSOC",,0,1,402,0,"R02IB1","02A003","R02B01",22,"Obra Social Sueldos"
"Seg Adicional",0,185,2,3,0,-1,"SEGADI",3,0,1,0,0,"","","",0,""
"Acumulado Seguros",0,186,0,0,0,1,"ASEG",0,70,0,0,0,"","","",0,""
" BAE-SAC BAE",1,68,6,1,.20,1,"BAE",,240,1,303,0,"R01IA","01A012","R01A14",9," BAE-SAC BAE"
" Adicional Turismo",1,69,6,1,.20,1,"TUR",,250,1,304,0,"R01IA","01A019","R01A15",9," Adicional Turismo"
" Doble Sueldo",1,70,6,1,.20,1,"DOBLES",,260,1,305,0,"R01IA","01A014","R01A16",9," Doble Sueldo"
"Porcentaje Aplicable Deduc A.",0,225,0,0,0,0,"PA",,530,0,0,0,"","","",0,""
"IMPUESTO DETERMINADO",0,222,0,0,0,1,"IMP",0,690,0,4100,1,"R08IA","09A001","R08A00",0,"Impuesto Determinado"
"Imp a Retener/Reint.Mensual",0,501,0,0,0,1,"IRM",,710,0,6200,2,"","10A001","",0,""
"Fondo Estímulo",0,71,8,1,0,1,"FONEST",,280,0,810,0,"R01IA","01A041","R01A55",12,"Fondo Estímulo"
" Fondo FO.NA.VI  (No Gravado)",0,5,9,1,0,1,"FONAVI",,-10,0,93,0,"R0000","00A242","R01C01",13,"*Fondo FO.NA.VI  (No Gravado)"
"Imp Retenido Sueldos",0,502,0,0,0,1,"IGSUEM",,711,0,6210,2,"","10A002","",0,""
"Donaciones",1,203,3,2,.20,0,"DONAC",2,80,0,0,0,"","","",0,""
"Gtos Sepelio",1,204,3,2,.20,0,"GTOSSEP",4,90,0,0,0,"","","",0,""
"Intereses Hipot",1,205,3,2,.20,0,"INTHIPOT",1,100,0,0,0,"","","",0,""
"Otros Seguros",1,206,3,2,.20,0,"OTROSEG",3,0,0,0,0,"","","",0,""
"Cuota Médica Asistencial",1,207,3,2,0,0,"CUOTAMED",2,110,0,0,0,"","","",0,""
"Gtos Médicos Anuales",1,208,5,2,0,0,"GTOSMED",2,120,0,0,0,"","","",0,""
"Deduc Salarial x Emerg.",0,29,2,0,0,-1,"DEDSALEM",0,0,1,0,0,"","","",0,""
"Ganancia No Imponible",0,210,4,4,0,-1,"GNI",,490,0,2801,0,"R06IB","03B001","R03A00",60,"Ganancia No Imponible"
"Deduccion Especial",0,211,4,4,0,-1,"DEDESP",,510,0,2803,0,"R06IA","03A001","R03B01",50,"Deduccion Especial"
